"symbol","tax_id","tid","gene_name","gene_id"
"ACVR2A",9606,101473,"Activin receptor type-2A",92
"ACVR2B",9606,100992,"Activin receptor type-2B",93
"ACVRL1",9606,100909,"Serine/threonine-protein kinase receptor R3",94
"ADA",9606,14,"Adenosine deaminase",100
"ADAL",9606,104230,"Adenosine deaminase-like protein",161823
"ADAM10",9606,100155,"ADAM10",102
"ADAM12",9606,100154,"ADAM12",8038
"ADAM17",9606,11473,"ADAM17",6868
"ADAM33",9606,101446,"Disintegrin and metalloproteinase domain-containing protein 33",80332
"ADAM8",9606,101493,"Disintegrin and metalloproteinase domain-containing protein 8",101
"ADAM9",9606,11989,"ADAM9",8754
"ADAMTS1",9606,100479,"ADAMTS1",9510
"ADAMTS13",9606,105680,"A disintegrin and metalloproteinase with thrombospondin motifs 13",11093
"ADAMTS4",9606,12861,"ADAMTS4",9507
"ADAMTS5",9606,12862,"ADAMTS5",11096
"ADCY1",9606,104878,"Adenylate cyclase",107
"ADCY1",9606,11821,"Brain adenylate cyclase 1",107
"ADCY10",9606,101358,"Adenylate cyclase type 10",55811
"ADCY2",9606,104878,"Adenylate cyclase",108
"ADCY3",9606,104878,"Adenylate cyclase",109
"ADCY4",9606,104878,"Adenylate cyclase",196883
"ADCY5",9606,12598,"Adenylate cyclase type V",111
"ADCY5",9606,104878,"Adenylate cyclase",111
"ADCY6",9606,104878,"Adenylate cyclase",112
"ADCY7",9606,104878,"Adenylate cyclase",113
"ADCY8",9606,104878,"Adenylate cyclase",114
"ADCY9",9606,104878,"Adenylate cyclase",115
"ADCYAP1R1",9606,101174,"Pituitary adenylate cyclase-activating polypeptide type I receptor",117
"ADH1A",9606,41,"Alcohol dehydrogenase alpha chain",124
"ADH1A",9606,104823,"Alcohol dehydrogenase",124
"ADH1B",9606,11578,"Alcohol dehydrogenase beta chain",125
"ADH1B",9606,104823,"Alcohol dehydrogenase",125
"ADH1C",9606,11579,"Alcohol dehydrogenase gamma chain",126
"ADH1C",9606,104823,"Alcohol dehydrogenase",126
"ADH4",9606,11580,"Alcohol dehydrogenase class II",127
"ADH4",9606,104823,"Alcohol dehydrogenase",127
"ADH5",9606,10160,"Alcohol dehydrogenase class III",128
"ADH5",9606,104823,"Alcohol dehydrogenase",128
"ADH6",9606,104823,"Alcohol dehydrogenase",130
"ADH7",9606,104823,"Alcohol dehydrogenase",131
"ADH7",9606,10691,"Alcohol dehydrogenase class IV",131
"ADK",9606,10185,"Adenosine kinase",132
"ADM",9606,104591,"ADM",133
"ADM2",9606,101137,"ADM2",79924
"ADORA1",9606,114,"Adenosine A1 receptor",134
"ADORA1",9606,104834,"Adenosine receptors; A1 & A2",134
"ADORA1",9606,104779,"Adenosine receptors; A1 & A3",134
"ADORA1",9606,104862,"Adenosine receptors; A1 & A2a",134
"ADORA1",9606,104845,"Adenosine receptors; A1 & A2b",134
"ADORA1",9606,105024,"Adenosine receptor",134
"ADORA2A",9606,104790,"Adenosine receptors; A2a & A3",135
"ADORA2A",9606,104862,"Adenosine receptors; A1 & A2a",135
"ADORA2A",9606,104729,"Adenosine A2 receptor",135
"ADORA2A",9606,252,"Adenosine A2a receptor",135
"ADORA2A",9606,104834,"Adenosine receptors; A1 & A2",135
"ADORA2A",9606,105024,"Adenosine receptor",135
"ADORA2B",9606,104845,"Adenosine receptors; A1 & A2b",136
"ADORA2B",9606,105024,"Adenosine receptor",136
"ADORA2B",9606,278,"Adenosine A2b receptor",136
"ADORA2B",9606,104729,"Adenosine A2 receptor",136
"ADORA2B",9606,104834,"Adenosine receptors; A1 & A2",136
"ADORA2B",9606,104806,"Adenosine receptors; A2b & A3",136
"ADORA3",9606,104806,"Adenosine receptors; A2b & A3",140
"ADORA3",9606,280,"Adenosine A3 receptor",140
"ADORA3",9606,104790,"Adenosine receptors; A2a & A3",140
"ADORA3",9606,105024,"Adenosine receptor",140
"ADORA3",9606,104779,"Adenosine receptors; A1 & A3",140
"ADRA1A",9606,103,"Alpha-1d adrenergic receptor",148
"ADRA1A",9606,104787,"Adrenergic receptor alpha",148
"ADRA1A",9606,104723,"Adrenergic receptor alpha-1",148
"ADRA1A",9606,104831,"Adrenergic receptors; alpha-1 A & B",148
"ADRA1A",9606,104993,"Alpha adrenergic receptor (1a and 1d)",148
"ADRA1A",9606,125,"Alpha-1a adrenergic receptor",148
"ADRA1A",9606,104723,"Adrenergic receptor alpha-1",148
"ADRA1A",9606,104993,"Alpha adrenergic receptor (1a and 1d)",148
"ADRA1A",9606,104787,"Adrenergic receptor alpha",148
"ADRA1B",9606,104723,"Adrenergic receptor alpha-1",147
"ADRA1B",9606,104787,"Adrenergic receptor alpha",147
"ADRA1B",9606,104831,"Adrenergic receptors; alpha-1 A & B",147
"ADRA1B",9606,128,"Alpha-1b adrenergic receptor",147
"ADRA1D",9606,103,"Alpha-1d adrenergic receptor",146
"ADRA1D",9606,104787,"Adrenergic receptor alpha",146
"ADRA1D",9606,104723,"Adrenergic receptor alpha-1",146
"ADRA1D",9606,104993,"Alpha adrenergic receptor (1a and 1d)",146
"ADRA2A",9606,104787,"Adrenergic receptor alpha",150
"ADRA2A",9606,52,"Alpha-2a adrenergic receptor",150
"ADRA2A",9606,104743,"Adrenergic receptor alpha-2",150
"ADRA2B",9606,216,"Alpha-2b adrenergic receptor",151
"ADRA2B",9606,104743,"Adrenergic receptor alpha-2",151
"ADRA2B",9606,104787,"Adrenergic receptor alpha",151
"ADRA2C",9606,104787,"Adrenergic receptor alpha",152
"ADRA2C",9606,104743,"Adrenergic receptor alpha-2",152
"ADRA2C",9606,218,"Alpha-2c adrenergic receptor",152
"ADRB1",9606,104854,"Adrenergic receptor beta; ADRB1 & ADRB2",153
"ADRB1",9606,104700,"Adrenergic receptor beta",153
"ADRB1",9606,104880,"Adrenergic receptor beta; ADRB1 & ADRB3",153
"ADRB1",9606,50,"Beta-1 adrenergic receptor",153
"ADRB2",9606,105082,"Beta-2 adrenergic receptor and beta-3 adrenergic receptor",154
"ADRB2",9606,43,"Beta-2 adrenergic receptor",154
"ADRB2",9606,104700,"Adrenergic receptor beta",154
"ADRB2",9606,104854,"Adrenergic receptor beta; ADRB1 & ADRB2",154
"ADRB3",9606,104700,"Adrenergic receptor beta",155
"ADRB3",9606,105082,"Beta-2 adrenergic receptor and beta-3 adrenergic receptor",155
"ADRB3",9606,104880,"Adrenergic receptor beta; ADRB1 & ADRB3",155
"ADRB3",9606,226,"Beta-3 adrenergic receptor",155
"ADSS",9606,10913,"Adenylosuccinate synthetase 2",159
"AEBP2",9606,108143,"EZH1/SUZ12/EED/AEBP2/RBBP4 complex",121536
"AGER",9606,105421,"Advanced glycosylation end product-specific receptor",177
"AGK",9606,107647,"Acylglycerol kinase, mitochondrial",55750
"AGL",9606,100904,"Glycogen debranching enzyme",178
"AGPAT1",9606,10080,"1-acylglycerol-3-phosphate O-acyltransferase alpha",10554
"AGPAT2",9606,12608,"1-acylglycerol-3-phosphate O-acyltransferase beta",10555
"AGTR1",9606,104728,"Angiotensin II receptor",185
"AGTR1",9606,115,"Type-1 angiotensin II receptor",185
"AGTR2",9606,104728,"Angiotensin II receptor",186
"AGTR2",9606,10692,"Angiotensin II type 2 (AT-2) receptor",186
"AHCY",9606,12795,"Adenosylhomocysteinase",191
"AHR",9606,10694,"Aryl hydrocarbon receptor",196
"AIM1",9606,109664,"Aurora kinase B/Inner centromere protein",202
"AIM1",9606,10781,"Serine/threonine-protein kinase Aurora-B",202
"AK1",9606,10941,"Adenylate kinase 1",203
"AK2",9606,10191,"Adenylate kinase 2",204
"AKR1A1",9606,11308,"Aldehyde reductase",10327
"AKR1B1",9606,242,"Aldose reductase",231
"AKR1B10",9606,102631,"Aldo-keto reductase family 1 member B10",57016
"AKR1C1",9606,101600,"Aldo-keto reductase family 1 member C1",1645
"AKR1C2",9606,101351,"Aldo-keto reductase family 1 member C2",1646
"AKR1C3",9606,100481,"Aldo-keto-reductase family 1 member C3",8644
"AKR1C4",9606,101251,"Aldo-keto reductase family 1 member C4",1109
"AKT1",9606,105106,"Serine/threonine-protein kinase AKT",207
"AKT1",9606,12666,"Serine/threonine-protein kinase AKT",207
"AKT1S1",9606,103572,"Proline-rich AKT1 substrate 1",84335
"AKT2",9606,105106,"Serine/threonine-protein kinase AKT",208
"AKT2",9606,10695,"Serine/threonine-protein kinase AKT2",208
"AKT3",9606,10696,"Serine/threonine-protein kinase AKT3",10000
"AKT3",9606,105106,"Serine/threonine-protein kinase AKT",10000
"ALAD",9606,10794,"Porphobilinogen synthase",210
"ALB",9606,10697,"Serum albumin",213
"ALDH1A1",9606,11130,"Aldehyde dehydrogenase 1A1",216
"ALDH1A2",9606,108032,"Retinal dehydrogenase 2",8854
"ALDH1A3",9606,11132,"Aldehyde dehydrogenase 1A3",220
"ALDH1B1",9606,10161,"Aldehyde dehydrogenase X",219
"ALDH2",9606,30,"Aldehyde dehydrogenase",217
"ALDH3A1",9606,11131,"Aldehyde dehydrogenase dimeric NADP-preferring",218
"ALDH5A1",9606,283,"Succinate semialdehyde dehydrogenase",7915
"ALK",9606,105079,"NPM/ALK (Nucleophosmin/ALK tyrosine kinase receptor)",238
"ALK",9606,100417,"ALK tyrosine kinase receptor",238
"ALKBH3",9606,108024,"Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3",221120
"ALOX12",9606,11134,"Arachidonate 12-lipoxygenase",239
"ALOX15",9606,12054,"Arachidonate 15-lipoxygenase",246
"ALOX15B",9606,10957,"Arachidonate 15-lipoxygenase, type II",247
"ALOX5",9606,105097,"5-lipoxygenase/FLAP",240
"ALOX5",9606,55,"Arachidonate 5-lipoxygenase",240
"ALOX5AP",9606,10102,"5-lipoxygenase activating protein",241
"ALOX5AP",9606,105097,"5-lipoxygenase/FLAP",241
"ALPI",9606,101024,"Intestinal alkaline phosphatase",248
"ALPL",9606,101624,"Alkaline phosphatase, tissue-nonspecific isozyme",249
"ALPP",9606,100158,"Alkaline phosphatase placental type",250
"ALPPL2",9606,11919,"Alkaline phosphatase placental-like",251
"AMD1",9606,11431,"S-adenosylmethionine decarboxylase 1",262
"AMOT",9606,109561,"Angiomotin",154796
"AMPD1",9606,12808,"AMP deaminase 1",270
"AMPD2",9606,12282,"AMP deaminase 2",271
"AMPD3",9606,11539,"AMP deaminase 3",272
"AMY1C",9606,10706,"Salivary alpha-amylase",278
"AMY2A",9606,10705,"Pancreatic alpha-amylase",279
"ANKK1",9606,101226,"Ankyrin repeat and protein kinase domain-containing protein 1",255239
"ANO1",9606,104568,"Anoctamin-1",55107
"ANPEP",9606,243,"Aminopeptidase N",290
"ANXA2",9606,104115,"Annexin A2",302
"ANXA2",9606,104950,"Annexin A2/S100-A10",302
"AOC1",9606,10664,"Diamine oxidase",26
"AOC2",9606,17022,"Retina-specific amine oxidase, copper containing",314
"AOC3",9606,20143,"Amine oxidase, copper containing",8639
"AOX1",9606,12056,"Aldehyde oxidase",316
"APAF1",9606,104175,"Apoptotic protease-activating factor 1",317
"APBA1",9606,104881,"Voltage-gated N-type calcium channel alpha-1B subunit/Amyloid beta A4 precursor protein-binding family A member 1",320
"APEH",9606,103970,"Acylamino-acid-releasing enzyme",327
"APEX1",9606,101476,"DNA-(apurinic or apyrimidinic site) lyase",328
"APH1A",9606,104717,"Gamma-secretase",51107
"APH1B",9606,104717,"Gamma-secretase",83464
"APLN",9606,108275,"Apelin",8862
"APLNR",9606,103800,"Apelin receptor",187
"APOB",9606,10029,"Apolipoprotein B-100",338
"APOBEC3A",9606,103975,"Probable DNA dC->dU-editing enzyme APOBEC-3A",200315
"APOBEC3F",9606,104484,"DNA dC->dU-editing enzyme APOBEC-3F",200316
"APOBEC3G",9606,104013,"DNA dC->dU-editing enzyme APOBEC-3G",60489
"APP",9606,10656,"Beta amyloid A4 protein",351
"AQP4",9606,101393,"Aquaporin-4",361
"AR",9606,56,"Androgen Receptor",367
"ARAF",9606,103465,"Serine/threonine-protein kinase A-Raf",369
"AREG",9606,12677,"Amphiregulin",374
"ARG1",9606,103147,"Arginase-1",383
"ARG2",9606,104228,"Arginase-2, mitochondrial",384
"ARHGDIA",9606,109932,"Rho GDP-dissociation inhibitor 1",396
"ARNT",9606,101475,"Aryl hydrocarbon receptor nuclear translocator",405
"ARRB1",9606,104170,"Beta-arrestin-1",408
"ARSA",9606,10712,"Cerebroside-sulfatase",410
"ASAH1",9606,100989,"Acid ceramidase",427
"ASAH2",9606,104521,"Neutral ceramidase",56624
"ASAP1",9606,105139,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1",50807
"ASF1A",9606,109562,"Histone chaperone ASF1A",25842
"ASGR1",9606,10192,"Asialoglycoprotein receptor 1",432
"ASIC1",9606,103796,"Amiloride-sensitive cation channel 2, neuronal",41
"ASIC3",9606,100935,"Amiloride-sensitive cation channel 3",9311
"ASNS",9606,11666,"Asparagine synthetase",440
"ATAD2",9606,105188,"ATPase family AAA domain-containing protein 2",29028
"ATAD2B",9606,105350,"ATPase family AAA domain-containing protein 2B",54454
"ATAD5",9606,104005,"ATPase family AAA domain-containing protein 5",79915
"ATF1",9606,10717,"Activating transcription factor 1",466
"ATG4B",9606,104017,"Cysteine protease ATG4B",23192
"ATIC",9606,10732,"AICAR transformylase",471
"ATM",9606,20137,"Serine-protein kinase ATM",472
"ATP12A",9606,17093,"Potassium-transporting ATPase alpha chain 2",479
"ATP1A1",9606,29,"Sodium/potassium-transporting ATPase alpha-1 chain",476
"ATP1A1",9606,104770,"Sodium/potassium-transporting ATPase",476
"ATP1A2",9606,104770,"Sodium/potassium-transporting ATPase",477
"ATP1A3",9606,104770,"Sodium/potassium-transporting ATPase",478
"ATP1A4",9606,104770,"Sodium/potassium-transporting ATPase",480
"ATP1B1",9606,104770,"Sodium/potassium-transporting ATPase",481
"ATP1B2",9606,104770,"Sodium/potassium-transporting ATPase",482
"ATP1B3",9606,104770,"Sodium/potassium-transporting ATPase",483
"ATP2A1",9606,11564,"Sarcoplasmic/endoplasmic reticulum calcium ATPase 1",487
"ATP2A2",9606,11689,"Sarcoplasmic/endoplasmic reticulum calcium ATPase 2",488
"ATP4A",9606,104758,"Potassium-transporting ATPase",495
"ATP4B",9606,104758,"Potassium-transporting ATPase",496
"ATP6AP1",9606,10952,"Vacuolar ATP synthase subunit S1",537
"ATP6V1B1",9606,11690,"Vacuolar ATP synthase subunit B, kidney isoform",525
"ATR",9606,20139,"Serine-protein kinase ATR",545
"ATXN2",9606,104167,"Ataxin-2",6311
"AURKA",9606,20014,"Serine/threonine-protein kinase Aurora-A",6790
"AURKAIP1",9606,101605,"Aurora kinase A-interacting protein",54998
"AURKB",9606,109664,"Aurora kinase B/Inner centromere protein",9212
"AURKB",9606,10781,"Serine/threonine-protein kinase Aurora-B",9212
"AURKC",9606,20171,"Serine/threonine-protein kinase Aurora-C",6795
"AVPR1A",9606,104978,"Vasopressin V1 receptor",552
"AVPR1A",9606,134,"Vasopressin V1a receptor",552
"AVPR1B",9606,104978,"Vasopressin V1 receptor",553
"AVPR1B",9606,148,"Vasopressin V1b receptor",553
"AVPR2",9606,112,"Vasopressin V2 receptor",554
"AWAT1",9606,107585,"Acyl-CoA wax alcohol acyltransferase 1",158833
"AWAT2",9606,107584,"Acyl-CoA wax alcohol acyltransferase 2",158835
"AXIN2",9606,103578,"Axin-2",8313
"AXL",9606,100410,"Tyrosine-protein kinase receptor UFO",558
"B3GALT1",9606,105623,"Beta-1,3-galactosyltransferase 1",8708
"B3GALT5",9606,105624,"Beta-1,3-galactosyltransferase 5",10317
"B3GNT3",9606,109464,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 3",10331
"B3GNT6",9606,105620,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6",192134
"B4GALT1",9606,100308,"Beta-1,4-galactosyltransferase 1",2683
"BACE1",9606,105085,"Beta-secretase (BACE)",23621
"BACE1",9606,12252,"Beta-secretase 1",23621
"BACE2",9606,10674,"Beta secretase 2",25825
"BACE2",9606,105085,"Beta-secretase (BACE)",25825
"BAD",9606,10032,"Bcl2-antagonist of cell death (BAD)",572
"BAK1",9606,108139,"Bcl-xL/BAK",578
"BAP1",9606,103747,"Ubiquitin carboxyl-terminal hydrolase BAP1",8314
"BAX",9606,100916,"Apoptosis regulator BAX",581
"BAZ2A",9606,108002,"Bromodomain adjacent to zinc finger domain protein 2A",11176
"BAZ2B",9606,104016,"Bromodomain adjacent to zinc finger domain protein 2B",29994
"BBOX1",9606,105215,"Gamma-butyrobetaine dioxygenase",8424
"BCAT1",9606,100478,"Branched-chain-amino-acid transferase",586
"BCAT2",9606,109874,"Branched-chain-amino-acid aminotransferase, mitochondrial",587
"BCHE",9606,10532,"Butyrylcholinesterase",590
"BCHE",9606,104805,"Cholinesterases; ACHE & BCHE",590
"BCL2",9606,100304,"Apoptosis regulator Bcl-2",596
"BCL2A1",9606,102423,"Bcl-2-related protein A1",597
"BCL2L1",9606,100217,"Apoptosis regulator Bcl-X",598
"BCL2L1",9606,108139,"Bcl-xL/BAK",598
"BCL2L10",9606,102637,"Bcl-2-like protein 10",10017
"BCL2L11",9606,101325,"Bcl-2-like protein 11",10018
"BCL2L2",9606,100476,"Apoptosis regulator Bcl-W",599
"BCR",9606,100128,"Breakpoint cluster region protein",613
"BCR",9606,104811,"Bcr/Abl fusion protein",613
"BCRP1",9606,100974,"ATP-binding cassette sub-family G member 2",644079
"BDKRB1",9606,11156,"Bradykinin B1 receptor",623
"BDKRB2",9606,10034,"Bradykinin B2 receptor",624
"BDP1",9606,109521,"Tyrosine-protein phosphatase non-receptor type 18",55814
"BHMT",9606,100787,"Betaine--homocysteine S-methyltransferase 1",635
"BHMT2",9606,105207,"S-methylmethionine--homocysteine S-methyltransferase BHMT2",23743
"BIRC2",9606,105504,"Complex of retinoic acid binding (CRABPII) and inhibitor of apoptosis (cIAP1) proteins",329
"BIRC2",9606,100988,"Baculoviral IAP repeat-containing protein 2",329
"BIRC3",9606,100952,"Baculoviral IAP repeat-containing protein 3",330
"BIRC5",9606,102638,"Baculoviral IAP repeat-containing protein 5",332
"BIRC7",9606,103055,"Baculoviral IAP repeat-containing protein 7",79444
"BIRC8",9606,101355,"Baculoviral IAP repeat-containing protein 8",112401
"BLK",9606,11691,"Tyrosine-protein kinase BLK",640
"BLM",9606,103670,"Bloom syndrome protein",641
"BMP1",9606,10144,"Bone morphogenetic protein 1",649
"BMP2",9606,104391,"Bone morphogenetic protein 2",650
"BMP2K",9606,30042,"BMP-2-inducible protein kinase",55589
"BMP4",9606,101162,"Bone morphogenetic protein 4",652
"BMP6",9606,108380,"Bone morphogenetic protein 6",654
"BMPR1A",9606,100907,"Bone morphogenetic protein receptor type-1A",657
"BMPR1B",9606,101204,"Bone morphogenetic protein receptor type-1B",658
"BMPR2",9606,100993,"Bone morphogenetic protein receptor type-2",659
"BMX",9606,30016,"Tyrosine-protein kinase BMX",660
"BPTF",9606,107969,"Nucleosome-remodeling factor subunit BPTF",2186
"BRAF",9606,100126,"Serine/threonine-protein kinase B-raf",673
"BRCA1",9606,102639,"Breast cancer type 1 susceptibility protein",672
"BRD1",9606,105349,"Bromodomain-containing protein 1",23774
"BRD2",9606,103722,"Bromodomain-containing protein 2",6046
"BRD3",9606,104266,"Bromodomain-containing protein 3",8019
"BRD4",9606,103454,"Bromodomain-containing protein 4",23476
"BRD7",9606,107970,"Bromodomain-containing protein 7",29117
"BRD9",9606,108000,"Bromodomain-containing protein 9",65980
"BRDT",9606,104265,"Bromodomain testis-specific protein",676
"BRPF1",9606,108054,"Peregrin",7862
"BRPF3",9606,108004,"Bromodomain and PHD finger-containing protein 3",27154
"BRS3",9606,10679,"Bombesin receptor subtype-3",680
"BRSK1",9606,101269,"BR serine/threonine-protein kinase 1",84446
"BRSK2",9606,100850,"BR serine/threonine-protein kinase 2",9024
"BTK",9606,100097,"Tyrosine-protein kinase BTK",695
"BUB1",9606,104146,"Mitotic checkpoint serine/threonine-protein kinase BUB1",699
"C1GALT1",9606,105622,"Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1",56913
"C1R",9606,11692,"Complement C1r",715
"C1S",9606,10684,"Complement C1s",716
"C3",9606,100170,"Complement C3",718
"C3AR1",9606,10785,"C3a anaphylatoxin chemotactic receptor",719
"C5AR1",9606,12679,"C5a anaphylatoxin chemotactic receptor",728
"CA1",9606,104764,"Carbonic anhydrase",759
"CA1",9606,10193,"Carbonic anhydrase I",759
"CA11",9606,12954,"Carbonic anhydrase-related protein 2",770
"CA12",9606,104764,"Carbonic anhydrase",771
"CA12",9606,12209,"Carbonic anhydrase XII",771
"CA13",9606,12923,"Carbonic anhydrase XIII",377677
"CA13",9606,104764,"Carbonic anhydrase",377677
"CA14",9606,104764,"Carbonic anhydrase",23632
"CA14",9606,11063,"Carbonic anhydrase XIV",23632
"CA2",9606,15,"Carbonic anhydrase II",760
"CA2",9606,104843,"Carbonic anhydrases; II & IX",760
"CA2",9606,104764,"Carbonic anhydrase",760
"CA3",9606,104764,"Carbonic anhydrase",761
"CA3",9606,10139,"Carbonic anhydrase III",761
"CA4",9606,12896,"Carbonic anhydrase IV",762
"CA4",9606,104764,"Carbonic anhydrase",762
"CA5A",9606,104764,"Carbonic anhydrase",763
"CA5A",9606,11042,"Carbonic anhydrase VA",763
"CA5A",9606,104979,"Carbonic anhydrase V",763
"CA5B",9606,11016,"Carbonic anhydrase VB",11238
"CA5B",9606,104764,"Carbonic anhydrase",11238
"CA5B",9606,104979,"Carbonic anhydrase V",11238
"CA6",9606,104764,"Carbonic anhydrase",765
"CA6",9606,10186,"Carbonic anhydrase VI",765
"CA7",9606,104764,"Carbonic anhydrase",766
"CA7",9606,11060,"Carbonic anhydrase VII",766
"CA9",9606,104764,"Carbonic anhydrase",768
"CA9",9606,12952,"Carbonic anhydrase IX",768
"CA9",9606,104843,"Carbonic anhydrases; II & IX",768
"CACNA1B",9606,10511,"Voltage-gated N-type calcium channel alpha-1B subunit",774
"CACNA1B",9606,104881,"Voltage-gated N-type calcium channel alpha-1B subunit/Amyloid beta A4 precursor protein-binding family A member 1",774
"CACNA1C",9606,104801,"Voltage-gated L-type calcium channel",775
"CACNA1C",9606,169,"Voltage-gated L-type calcium channel alpha-1C subunit",775
"CACNA1D",9606,104801,"Voltage-gated L-type calcium channel",776
"CACNA1D",9606,11158,"Voltage-gated L-type calcium channel alpha-1D subunit",776
"CACNA1F",9606,104801,"Voltage-gated L-type calcium channel",778
"CACNA1G",9606,100100,"Voltage-gated T-type calcium channel alpha-1G subunit",8913
"CACNA1H",9606,4,"Voltage-gated T-type calcium channel alpha-1H subunit",8912
"CACNA1I",9606,100101,"Voltage-gated T-type calcium channel alpha-1I subunit",8911
"CACNA1S",9606,104801,"Voltage-gated L-type calcium channel",779
"CACNA1S",9606,10818,"Voltage-gated L-type calcium channel alpha-1S subunit",779
"CACNA2D1",9606,150,"Voltage-gated calcium channel alpha2/delta subunit 1",781
"CACNA2D2",9606,11959,"Voltage-gated calcium channel alpha2/delta subunit 2",9254
"CAD",9606,11102,"Dihydroorotase",790
"CALCA",9606,100944,"Calcitonin gene-related peptide 1",796
"CALCR",9606,119,"Calcitonin receptor",799
"CALCRL",9606,19904,"Calcitonin gene-related peptide type 1 receptor",10203
"CALCRL",9606,104890,"Calcitonin-gene-related peptide receptor, CALCRL/RAMP1",10203
"CALM3",9606,101444,"Calmodulin",808
"CAMK1",9606,10970,"CaM kinase I alpha",8536
"CAMK1D",9606,30028,"CaM kinase I delta",57118
"CAMK1G",9606,30031,"CaM kinase I gamma",57172
"CAMK2A",9606,104875,"CaM kinase II",815
"CAMK2A",9606,12415,"CaM kinase II alpha",815
"CAMK2B",9606,10396,"CaM kinase II beta",816
"CAMK2B",9606,104875,"CaM kinase II",816
"CAMK2D",9606,104875,"CaM kinase II",817
"CAMK2D",9606,11622,"CaM kinase II delta",817
"CAMK2G",9606,104875,"CaM kinase II",818
"CAMK2G",9606,30002,"CaM kinase II gamma",818
"CAMK4",9606,10971,"CaM kinase IV",814
